basketball-v2/Iteration,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KLAfter,basketball-v2/TerminationRate,GaussianMLPPolicy/Entropy,basketball-v2/AverageReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/SuccessRate,Average/TerminationRate,basketball-v2/AverageDiscountedReturn,MetaTest/Average/AverageReturn,Average/MinReturn,Average/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,basketball-v2/StdReturn,GaussianMLPPolicy/KLBefore,basketball-v2/MaxReturn,Average/NumEpisodes,MetaTest/basketball-v2/SuccessRate,basketball-v2/SuccessRate,GaussianMLPPolicy/LossAfter,MetaTest/Average/NumEpisodes,Iteration,MetaTest/Average/Iteration,MetaTest/basketball-v2/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,basketball-v2/MinReturn,Average/MaxReturn,MetaTest/basketball-v2/NumEpisodes,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,TotalEnvSteps,basketball-v2/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/basketball-v2/StdReturn,Average/SuccessRate,Average/Iteration,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/MinReturn
20,5.920834604105064,0.0006226432742550969,0.006473250687122345,0.0,5.549939155578613,22.942421554431693,24.528704484428314,0.0,0.0,0.0,5.920834604105064,24.528704484428314,3.1106051890462,14.78204664187232,24.528704484428314,14.78204664187232,0.0,119.91386420060009,200,0.0,0.0,-0.0012882051523774862,50,20,20,20,13.1335273234714,0.0,3.1106051890462,119.91386420060009,50,22.942421554431693,24.528704484428314,2.544086418318333,4200000,200,-0.0006655618781223893,13.1335273234714,0.0,20,89.96017984558384,89.96017984558384,2.544086418318333
21,6.067344594987301,0.0010800538148032501,0.006783268414437771,0.0,5.549675464630127,22.663656653988163,21.458094664653586,0.0,0.0,0.0,6.067344594987301,21.458094664653586,2.970534270201098,12.040984623645107,21.458094664653583,12.040984623645107,0.0,104.20692710258695,200,0.0,0.0,-0.0013166151475161314,50,21,21,21,12.043778574211958,0.0,2.970534270201098,104.20692710258695,50,22.663656653988163,21.458094664653583,2.7777983764275263,4400000,200,-0.00023656133271288127,12.043778574211958,0.0,21,80.65877299835246,80.65877299835246,2.7777983764275263
22,5.907965719383878,0.0010882810456678271,0.006423496641218662,0.0,5.526510715484619,21.432272603582597,30.72481766645762,0.0,0.0,0.0,5.907965719383878,30.72481766645762,2.733323999951292,12.948969847806506,30.724817666457614,12.948969847806506,0.0,108.3697517360158,200,0.0,0.0,-0.002684717532247305,50,22,22,22,59.12391800743169,0.0,2.733323999951292,108.3697517360158,50,21.432272603582597,30.724817666457614,4.958209658809802,4600000,200,-0.0015964364865794778,59.12391800743169,0.0,22,432.78818411859504,432.78818411859504,4.958209658809802
23,6.356124098048699,0.0005612736458715517,0.009811602532863617,0.0,5.537790775299072,26.234999291064028,22.845771107988522,0.0,0.0,0.0,6.356124098048699,22.845771107988522,3.929637954350298,19.69146991393308,22.845771107988522,19.69146991393308,0.0,194.72639005642134,200,0.0,0.0,-3.0596089345635846e-05,50,23,23,23,28.545516531513087,0.0,3.929637954350298,194.72639005642134,50,26.234999291064028,22.845771107988522,2.867211183732642,4800000,200,0.0005306775565259159,28.545516531513087,0.0,23,206.45983379951113,206.45983379951113,2.867211183732642
24,6.049701450803581,0.0005186723137740046,0.006411741487681866,0.0,5.536140441894531,23.94647150337772,22.751831996426052,0.0,0.0,0.0,6.049701450803581,22.751831996426052,3.242222877343702,29.21791716505391,22.751831996426052,29.21791716505391,0.0,351.26625805622416,200,0.0,0.0,-0.0003534340939950198,50,24,24,24,20.637836613166677,0.0,3.242222877343702,351.26625805622416,50,23.94647150337772,22.751831996426052,3.3818130351070033,5000000,200,0.00016523821977898479,20.637836613166677,0.0,24,154.0053368754923,154.0053368754923,3.3818130351070033
25,6.240060837231416,0.0007485258392989635,0.00674515450373292,0.0,5.491520404815674,23.405679052214808,22.543124544101996,0.0,0.0,0.0,6.240060837231416,22.543124544101996,3.0447544486034968,17.686058419694582,22.54312454410199,17.686058419694582,0.0,151.49126187273598,200,0.0,0.0,-0.002742526587098837,50,25,25,25,11.02051739514136,0.0,3.0447544486034968,151.49126187273598,50,23.405679052214808,22.54312454410199,2.4417727516948093,5200000,200,-0.0019940007477998734,11.02051739514136,0.0,25,43.216149442364596,43.216149442364596,2.4417727516948093
26,6.306292268356374,0.0011431685998104513,0.009954506531357765,0.0,5.502423286437988,26.70884706978016,23.252014431935404,0.0,0.0,0.0,6.306292268356374,23.252014431935404,3.7865949500212994,28.682476313118645,23.252014431935407,28.682476313118645,0.0,350.5992264919406,200,0.0,0.0,-0.0005019953823648393,50,26,26,26,17.059773956328367,0.0,3.7865949500212994,350.5992264919406,50,26.70884706978016,23.252014431935407,3.5776826136587774,5400000,200,0.000641173217445612,17.059773956328367,0.0,26,90.21234802594137,90.21234802594137,3.5776826136587774
27,6.097536741336101,0.0008013927144929767,0.009940785355865955,0.0,5.517105579376221,27.80342593402874,39.03277691478756,0.0,0.0,0.0,6.097536741336101,39.03277691478756,2.3376810848162757,39.64729292422283,39.03277691478757,39.64729292422283,0.0,414.768374729824,200,0.0,0.0,0.0004904763773083687,50,27,27,27,87.43809918650508,0.0,2.3376810848162757,414.768374729824,50,27.80342593402874,39.03277691478757,2.5604457556490576,5600000,200,0.0012918690918013453,87.43809918650508,0.0,27,494.26616509143787,494.26616509143787,2.5604457556490576
28,7.1596991892415485,0.0006749052554368973,0.009787741117179394,0.0,5.491821765899658,32.906232968037514,28.121839347513315,0.0,0.0,0.0,7.1596991892415485,28.121839347513315,1.8143099002096064,53.17905660060302,28.12183934751331,53.17905660060302,0.0,579.921246746824,200,0.0,0.0,-0.0019230202306061983,50,28,28,28,22.953037524394798,0.0,1.8143099002096064,579.921246746824,50,32.906232968037514,28.12183934751331,4.250533947813967,5800000,200,-0.001248114975169301,22.953037524394798,0.0,28,144.13648326739096,144.13648326739096,4.250533947813967
29,6.967698204838944,0.001026558456942439,0.00999207329005003,0.0,5.488327503204346,31.094242913481185,23.524938556714343,0.0,0.0,0.0,6.967698204838944,23.524938556714343,3.39494314197446,51.74199243474624,23.524938556714343,51.74199243474624,0.0,502.40931418302785,200,0.0,0.0,-0.0011838659411296248,50,29,29,29,14.715501410529999,0.0,3.39494314197446,502.40931418302785,50,31.094242913481185,23.524938556714343,3.354384520367721,6000000,200,-0.00015730748418718576,14.715501410529999,0.0,29,68.81188339510797,68.81188339510797,3.354384520367721
