basketball-v2/Iteration,Average/Iteration,MetaTest/Average/Iteration,Average/SuccessRate,GaussianMLPPolicy/dLoss,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/NumEpisodes,basketball-v2/MaxReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,basketball-v2/MinReturn,basketball-v2/TerminationRate,MetaTest/basketball-v2/MinReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/basketball-v2/NumEpisodes,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/basketball-v2/StdReturn,Average/MaxReturn,Average/StdReturn,MetaTest/Average/AverageReturn,Iteration,basketball-v2/AverageReturn,basketball-v2/NumEpisodes,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/basketball-v2/MaxReturn,Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/basketball-v2/SuccessRate,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/LossAfter,MetaTest/basketball-v2/Iteration,basketball-v2/SuccessRate,Average/NumEpisodes,GaussianMLPPolicy/Entropy,MetaTest/Average/TerminationRate,basketball-v2/AverageDiscountedReturn,basketball-v2/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,Average/MinReturn
23,23,23,0.0,0.0007772434619255364,12.130337610656444,4800000,50,299.12555924546405,19.093643534311507,66.93621219792594,0.0,3.2426716658612342,0.0,3.8284929688319327,0.0,50,25.68934429738991,19.09364353431151,0.0,12.130337610656444,299.12555924546405,41.071533968733036,19.093643534311507,23,25.68934429738991,200,6.983269589127634,0.0066312155686318874,66.93621219792594,0.0,3.8284929688319327,0.0,-0.0007907169056124985,-0.001567960367538035,23,0.0,200,5.529954433441162,0.0,6.983269589127634,41.071533968733036,19.09364353431151,3.2426716658612342
24,24,24,0.0,0.0009776680963113904,20.58592713794307,5000000,50,365.17985932019315,27.46287549149378,93.8077162829175,0.0,2.8679697320948625,0.0,3.712714745585642,0.0,50,22.752098294117435,27.46287549149378,0.0,20.58592713794307,365.17985932019315,31.66312149787048,27.46287549149378,24,22.752098294117435,200,6.656038506749731,0.006542860064655542,93.8077162829175,0.0,3.712714745585642,0.0,-0.0007290345383808017,-0.001706702634692192,24,0.0,200,5.512119293212891,0.0,6.656038506749731,31.66312149787048,27.46287549149378,2.8679697320948625
25,25,25,0.0,0.00021144398488104343,14.807659524815692,5200000,50,205.84926902550077,19.79555844768676,66.35552209253329,0.0,2.541040509234393,0.0,4.346660116991875,0.0,50,22.70595213896413,19.795558447686766,0.0,14.807659524815692,205.84926902550077,24.45206290523168,19.79555844768676,25,22.70595213896413,200,7.065822004639042,0.0066257985308766365,66.35552209253329,0.0,4.346660116991875,0.0,-0.0022584691178053617,-0.002469913102686405,25,0.0,200,5.472435474395752,0.0,7.065822004639042,24.45206290523168,19.795558447686766,2.541040509234393
26,26,26,0.0,0.0004099633079022169,16.63313628721879,5400000,50,256.3600739735434,21.4199365875061,69.18184366549359,0.0,4.4338547794861185,0.0,3.4264015578170253,0.0,50,22.162828783362464,21.41993658750609,0.0,16.63313628721879,256.3600739735434,22.714034929527163,21.4199365875061,26,22.162828783362464,200,6.929486017236098,0.006648298352956772,69.18184366549359,0.0,3.4264015578170253,0.0,-0.0011078283423557878,-0.0015177916502580047,26,0.0,200,5.454227924346924,0.0,6.929486017236098,22.714034929527163,21.41993658750609,4.4338547794861185
27,27,27,0.0,0.0005875653587281704,15.905202374305874,5600000,50,358.10564665851757,20.55626419349808,96.87742262322463,0.0,2.7013952873913225,0.0,4.371184269758169,0.0,50,22.45317404487435,20.55626419349808,0.0,15.905202374305874,358.10564665851757,31.380085482284823,20.55626419349808,27,22.45317404487435,200,6.7596141993816925,0.009180178865790367,96.87742262322463,0.0,4.371184269758169,0.0,-0.0022367890924215317,-0.002824354451149702,27,0.0,200,5.412220478057861,0.0,6.7596141993816925,31.380085482284823,20.55626419349808,2.7013952873913225
28,28,28,0.0,0.0008613954414613545,10.636232366607153,5800000,50,267.9275113288826,17.246177533926264,49.85117908609738,0.0,2.2901542035475884,0.0,4.0334566371379,0.0,50,26.900978864851858,17.246177533926264,0.0,10.636232366607153,267.9275113288826,38.65500998673826,17.246177533926264,28,26.900978864851858,200,6.966961239846771,0.00976601429283619,49.85117908609738,0.0,4.0334566371379,0.0,0.00040880480082705617,-0.0004525906406342983,28,0.0,200,5.427046775817871,0.0,6.966961239846771,38.65500998673826,17.246177533926264,2.2901542035475884
29,29,29,0.0,0.0008520839037373662,17.010659223083117,6000000,50,428.0101161027384,22.99235176195753,84.14518832169847,0.0,3.18617520413417,0.0,1.9770204282843087,0.0,50,26.086095383655785,22.992351761957533,0.0,17.010659223083117,428.0101161027384,40.007888283029025,22.99235176195753,29,26.086095383655785,200,7.411355186024061,0.006535171531140804,84.14518832169847,0.0,1.9770204282843087,0.0,-0.0012766270665451884,-0.0021287109702825546,29,0.0,200,5.407210826873779,0.0,7.411355186024061,40.007888283029025,22.992351761957533,3.18617520413417
30,30,30,0.0,0.0005442677647806704,37.072573838497675,6200000,50,209.97923258566007,28.833663954785692,228.2823293912465,0.0,4.15837127467921,0.0,3.9427012819686893,0.0,50,22.97763192974161,28.833663954785685,0.0,37.072573838497675,209.97923258566007,24.702537567110166,28.833663954785692,30,22.97763192974161,200,6.910501077326969,0.006528122816234827,228.2823293912465,0.0,3.9427012819686893,0.0,0.0013511095894500613,0.0008068418246693909,30,0.0,200,5.438185691833496,0.0,6.910501077326969,24.702537567110166,28.833663954785685,4.15837127467921
31,31,31,0.0,0.00023608404444530606,40.81116774799552,6400000,50,238.19269079648754,27.476576420154448,262.22159027620586,0.0,4.288759845670702,0.0,3.990063073234453,0.0,50,24.010163531209574,27.47657642015445,0.0,40.81116774799552,238.19269079648754,25.202491923265068,27.476576420154448,31,24.010163531209574,200,6.972432570633037,0.006683620624244213,262.22159027620586,0.0,3.990063073234453,0.0,0.0005766769172623754,0.0003405928728170693,31,0.0,200,5.45084810256958,0.0,6.972432570633037,25.202491923265068,27.47657642015445,4.288759845670702
32,32,32,0.0,0.00042977137491106987,15.739944961486545,6600000,50,552.0627120705605,17.942804837192522,109.43562642792833,0.0,4.538812974492764,0.0,4.970044549448222,0.0,50,31.853680397621034,17.942804837192515,0.0,15.739944961486545,552.0627120705605,53.86273196424831,17.942804837192522,32,31.853680397621034,200,8.134150194154627,0.0068557774648070335,109.43562642792833,0.0,4.970044549448222,0.0,-0.0018634090665727854,-0.0022931804414838552,32,0.0,200,5.392177104949951,0.0,8.134150194154627,53.86273196424831,17.942804837192515,4.538812974492764
